account_id,account_number,customer_id,account_type_id,branch_id,opening_date,current_balance,available_balance,account_status,currency,nominee_registered,internet_banking,mobile_banking,debit_card,cheque_book,last_transaction_date,average_monthly_balance,interest_rate,account_rating
1,196831611956,1,1,76,2013-07-05,4506,4246,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-02-13,3910.34,3.5,Good
2,472646369774,2,3,14,2024-07-02,37697,34585,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-03-28,27576.11,3.0,Good
3,947087372942,3,3,38,2024-07-02,5925,4018,Active,INR,Yes,Yes,No,Yes,Yes,2026-01-12,4780.24,3.0,Poor
4,858663022120,4,2,72,2019-07-04,45006,42350,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-05-09,47942.84,0.0,Good
5,717380026649,5,1,69,2018-07-04,8179,3391,Active,INR,Yes,Yes,No,Yes,Yes,2026-06-20,8542.48,3.5,Good
6,681830843906,5,1,33,2026-07-02,66654,65716,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-03-08,46744.33,3.5,Average
7,767900326356,6,8,26,2022-07-03,855675,852612,Active,INR,Yes,No,Yes,Yes,Yes,2026-06-28,637261.47,3.5,Good
8,190532572167,6,9,94,2011-07-06,65185,64619,Frozen,INR,Yes,Yes,Yes,Yes,Yes,2026-02-17,68377.32,4.0,Good
9,670799496139,7,1,58,2023-07-03,30429,28399,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-01-22,22016.89,3.5,Excellent
10,895137224815,8,1,74,2011-07-06,25598,23608,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-03-05,26763.6,3.5,Excellent
11,591929601508,9,2,18,2013-07-05,36387,34884,Active,INR,Yes,No,Yes,Yes,Yes,2026-06-20,34962.74,0.0,Good
12,280640463568,10,1,49,2026-07-02,20900,17702,Active,INR,Yes,Yes,Yes,Yes,No,2026-02-10,20163.24,3.5,Good
13,740165486786,11,1,62,2021-07-03,47958,47493,Dormant,INR,Yes,Yes,Yes,Yes,Yes,2026-06-02,51633.43,3.5,Good
14,835316694200,12,1,92,2016-07-04,748178,746223,Active,INR,Yes,Yes,Yes,Yes,No,2026-06-30,660876.26,3.5,Poor
15,504776119396,13,1,37,2021-07-03,43154,39565,Active,INR,Yes,Yes,No,Yes,Yes,2026-02-11,35375.56,3.5,Average
16,410407371993,13,5,78,2020-07-03,80259,77451,Active,INR,Yes,Yes,Yes,Yes,No,2026-06-09,76544.11,6.25,Average
17,571182253884,13,1,72,2026-07-02,18574,17658,Active,INR,Yes,No,Yes,Yes,Yes,2026-05-26,16194.94,3.5,Excellent
18,956217530058,14,5,72,2013-07-05,105071,103805,Dormant,INR,Yes,Yes,Yes,Yes,Yes,2026-05-18,104506.33,6.25,Good
19,342539766821,15,3,26,2012-07-05,27486,24622,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-06-15,29870.57,3.0,Good
20,294395439052,15,2,75,2018-07-04,228942,228629,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-03-26,242633.17,0.0,Good
21,784317998415,16,1,41,2023-07-03,8518,6058,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-01-13,9166.61,3.5,Average
22,965134782024,17,2,75,2016-07-04,36613,32804,Active,INR,Yes,Yes,Yes,Yes,No,2026-01-15,26870.95,0.0,Good
23,259769046504,17,2,4,2025-07-02,16121,14116,Frozen,INR,Yes,No,Yes,Yes,Yes,2026-01-05,13760.75,0.0,Good
24,609030752531,18,2,7,2019-07-04,4372682,4371688,Active,INR,Yes,Yes,No,Yes,No,2026-03-11,4132450.91,0.0,Average
25,925746940063,19,3,32,2018-07-04,39224,34954,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-02-14,28721.03,3.0,Good
26,166210246191,20,1,27,2013-07-05,158756,155566,Active,INR,Yes,Yes,No,Yes,Yes,2026-07-01,170995.56,3.5,Good
27,397295152191,21,3,56,2011-07-06,45273,45036,Active,INR,Yes,No,Yes,Yes,No,2026-01-24,41363.65,3.0,Poor
28,458110524275,22,2,28,2012-07-05,1375,-1302,Active,INR,Yes,Yes,No,Yes,No,2026-03-04,973.16,0.0,Good
29,270172340877,23,1,31,2022-07-03,459296,455417,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-01-28,498563.01,3.5,Average
30,845502370306,23,3,49,2014-07-05,806795,805171,Active,INR,Yes,Yes,Yes,Yes,No,2026-01-30,824714.87,3.0,Average
31,810842688886,23,1,44,2026-07-02,32755,29314,Active,INR,Yes,No,Yes,Yes,No,2026-03-13,25236.25,3.5,Good
32,453340068343,24,2,32,2024-07-02,171864,169580,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-04-10,132805.49,0.0,Good
33,362360709927,25,1,93,2013-07-05,210645,206643,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-04-18,166122.77,3.5,Average
34,920324285791,25,1,71,2016-07-04,34185,31303,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-02-15,36931.8,3.5,Average
35,314029509095,26,2,38,2019-07-04,2186983,2184027,Active,INR,Yes,Yes,Yes,No,Yes,2026-01-05,2356771.28,0.0,Good
36,375098568281,27,1,62,2023-07-03,47622,47087,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-04-16,34957.99,3.5,Good
37,428318986734,27,1,76,2013-07-05,49736,47235,Active,INR,Yes,No,Yes,Yes,Yes,2026-04-26,47954.02,3.5,Good
38,353543257595,28,1,37,2017-07-04,36773,33054,Active,INR,Yes,Yes,Yes,Yes,No,2026-05-13,31994.55,3.5,Good
39,582275910205,29,4,16,2012-07-05,14680,12189,Active,INR,No,Yes,Yes,Yes,Yes,2026-03-14,14589.18,6.75,Good
40,937691416447,30,1,97,2021-07-03,48478,44624,Active,INR,Yes,Yes,No,Yes,No,2026-06-09,43048.67,3.5,Good
41,542146239550,31,1,98,2025-07-02,31615,27890,Active,INR,Yes,Yes,Yes,Yes,No,2026-07-02,30447.27,3.5,Good
42,244092801172,32,1,37,2012-07-05,42670,38700,Active,INR,No,Yes,Yes,Yes,Yes,2026-02-11,36832.59,3.5,Good
43,556440884355,33,1,62,2011-07-06,180647,178651,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-06-15,146414.21,3.5,Average
44,738176038125,33,1,85,2011-07-06,27510,26293,Active,INR,Yes,Yes,Yes,Yes,No,2026-05-15,30049.44,3.5,Good
45,520096802415,34,3,50,2022-07-03,133409,129352,Dormant,INR,Yes,No,Yes,Yes,No,2026-06-07,121452.94,3.0,Good
46,814671749013,35,1,11,2016-07-04,173075,168704,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-06-15,137405.64,3.5,Average
47,211121881692,35,1,57,2021-07-03,163764,161311,Active,INR,Yes,No,Yes,Yes,Yes,2026-02-17,141626.5,3.5,Average
48,607803382689,36,1,82,2018-07-04,113133,109369,Active,INR,Yes,No,No,Yes,Yes,2026-03-11,121968.04,3.5,Poor
49,358156110078,37,7,49,2015-07-05,408895,404187,Active,INR,Yes,Yes,No,Yes,Yes,2026-01-08,413525.59,3.5,Poor
50,844105776108,38,2,97,2022-07-03,25082,24287,Active,INR,Yes,Yes,Yes,Yes,No,2026-06-09,26683.51,0.0,Good
51,379879587162,38,1,62,2017-07-04,191403,188629,Active,INR,Yes,Yes,Yes,Yes,No,2026-01-11,209007.65,3.5,Poor
52,923228529421,39,1,87,2018-07-04,10913,6125,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-02-09,9070.91,3.5,Good
53,430872306667,39,2,64,2023-07-03,7606,6810,Active,INR,Yes,Yes,Yes,Yes,No,2026-02-14,6599.35,0.0,Average
54,586264470638,40,1,57,2019-07-04,156986,154015,Active,INR,Yes,Yes,No,Yes,Yes,2026-05-15,170688.17,3.5,Poor
55,241685906927,41,1,73,2020-07-03,49135,48573,Active,INR,Yes,Yes,Yes,Yes,No,2026-01-31,34450.23,3.5,Average
56,241844645681,41,1,2,2015-07-05,115708,113759,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-06-16,103037.79,3.5,Average
57,674060617526,42,1,39,2012-07-05,962570,962315,Active,INR,Yes,Yes,Yes,Yes,No,2026-06-14,1020041.88,3.5,Good
58,655999474067,43,1,78,2013-07-05,135246,134434,Active,INR,Yes,Yes,No,Yes,No,2026-03-14,119100.6,3.5,Good
59,852274855980,44,1,61,2024-07-02,131933,131186,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-02-02,142837.24,3.5,Good
60,656532922316,45,1,28,2022-07-03,13372,9422,Active,INR,Yes,No,Yes,Yes,Yes,2026-03-15,13880.97,3.5,Poor
61,442576940326,46,2,44,2015-07-05,11721,11671,Active,INR,Yes,Yes,Yes,Yes,No,2026-06-09,11702.77,0.0,Good
62,726813572007,46,1,77,2024-07-02,20316,19886,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-01-28,17813.43,3.5,Good
63,832407605075,47,1,40,2025-07-02,124252,122446,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-04-28,101362.15,3.5,Excellent
64,716328933739,47,1,86,2015-07-05,83866,83276,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-03-15,77941.7,3.5,Average
65,499087372233,48,1,12,2013-07-05,848152,847285,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-04-08,858030.55,3.5,Excellent
66,358332360769,49,1,14,2022-07-03,142039,139943,Active,INR,Yes,No,Yes,Yes,No,2026-02-26,125787.07,3.5,Good
67,793389003818,50,2,39,2018-07-04,9248,4404,Active,INR,Yes,Yes,Yes,Yes,No,2026-06-13,8858.35,0.0,Poor
68,992962570107,51,1,74,2020-07-03,6299,3666,Active,INR,Yes,No,Yes,Yes,No,2026-06-11,5680.56,3.5,Good
69,413180153817,52,1,50,2013-07-05,44346,41575,Active,INR,Yes,Yes,Yes,Yes,Yes,2026-03-26,36082.51,3.5,Average
70,440804885228,53,4,84,2014-07-05,2463,1407,Active,INR,No,Yes,Yes,Yes,No,2026-01-12,2416.53,6.75,Poor
71,474582105236,54,4,99,2011-07-06,37749,36177,Active,INR,Yes,Yes,No,Yes,No,2026-02-18,26994.27,6.75,Good
72,949084306678,54,3,80,2021-07-03,49142,45557,Active,INR,Yes,Yes,No,Yes,No,2026-03-10,38999.15,3.0,Good
73,608698492376,54,7,99,2017-07-04,146428,143300,Active,INR,Yes,Yes,Yes,Yes,No,2026-06-19,140054.23,3.5,Average
74,261118623175,55,1,56,2024-07-02,18171,16353,Active,INR,Yes,No,Yes,Yes,Yes,2026-03-26,19948.31,3.5,Good
