beneficiary_id,beneficiary_code,account_id,beneficiary_name,beneficiary_bank,beneficiary_account_number,ifsc_code,relationship,beneficiary_type,city,state,mobile_number,email,added_date,status
1,BEN356787,1,Amaira Maharaj,BankAI,251282538206,BKAI872246,Self,Internal,Rajahmundry,Chhattisgarh,8196001338,amaira.maharaj@gmail.com,2018-02-11,Active
2,BEN133326,1,Ubika Kannan,BankAI,198912225902,BKAI329258,Father,Internal,Giridih,Himachal Pradesh,2654235116,ubika.kannan@gmail.com,2019-09-02,Active
3,BEN331148,2,Anya Sharaf,Indian Bank,746174432554,BKAI391704,Friend,External,Burhanpur,Assam,9593103413,anya.sharaf@gmail.com,2026-05-07,Active
4,BEN325772,3,Qabil Gaba,Punjab National Bank,941629821539,BKAI452944,Self,External,Raichur,Gujarat,1928327648,qabil.gaba@gmail.com,2022-02-27,Active
5,BEN865179,4,Amol Mutti,Yes Bank,690383734374,BKAI230889,Other,External,Agartala,Assam,9537672423,amol.mutti@gmail.com,2022-03-05,Active
6,BEN705397,4,Sudiksha Pathak,BankAI,873919986476,BKAI172933,Self,Internal,Durgapur,Mizoram,1012269166,sudiksha.pathak@gmail.com,2023-11-12,Active
7,BEN205907,4,Abdul Contractor,AU Small Finance Bank,406575307735,BKAI575435,Spouse,External,Mau,Bihar,6270482814,abdul.contractor@gmail.com,2022-04-30,Active
8,BEN738720,5,Rachit Edwin,IDFC FIRST Bank,287410804707,BKAI660086,Friend,External,Khora ,Karnataka,0154303911,rachit.edwin@gmail.com,2024-08-02,Active
9,BEN817870,6,Devansh Soman,IDFC FIRST Bank,953703406284,BKAI158655,Father,External,Bilaspur,Mizoram,3834657871,devansh.soman@gmail.com,2026-01-22,Active
10,BEN322955,7,Aishani Karpe,BankAI,648275934229,BKAI514850,Business Partner,Internal,Chennai,Assam,3105183473,aishani.karpe@gmail.com,2019-03-18,Active
11,BEN881177,7,Jairaj Solanki,BankAI,690821577339,BKAI375504,Friend,Internal,Jhansi,Bihar,6566701065,jairaj.solanki@gmail.com,2021-08-13,Active
12,BEN634277,8,Udarsh Dey,BankAI,200903882207,BKAI892495,Self,Internal,South Dumdum,Himachal Pradesh,3178108013,udarsh.dey@gmail.com,2025-03-10,Active
13,BEN503457,9,Hredhaan Rattan,Kotak Mahindra Bank,754474071330,BKAI590785,Spouse,External,Dehradun,Madhya Pradesh,6474687234,hredhaan.rattan@gmail.com,2020-03-19,Active
14,BEN905934,11,Nirja Bhandari,Indian Bank,476415064723,BKAI216970,Mother,External,Bhimavaram,Meghalaya,0812191361,nirja.bhandari@gmail.com,2024-08-24,Active
15,BEN624902,11,Chaitaly Saini,Bandhan Bank,296546131054,BKAI632342,Employer,External,Bhilwara,Gujarat,3462475107,chaitaly.saini@gmail.com,2016-08-28,Active
16,BEN492077,12,Hredhaan Toor,Axis Bank,279368618081,BKAI665579,Employee,External,Mira-Bhayandar,Kerala,3542784980,hredhaan.toor@gmail.com,2020-06-21,Active
17,BEN217301,12,Kevin D’Alia,Union Bank of India,499127439409,BKAI972064,Friend,External,Begusarai,Chhattisgarh,4935348740,kevin.d’alia@gmail.com,2023-09-26,Active
18,BEN867460,12,Aarav Nath,HDFC Bank,995440510689,BKAI172574,Other,External,Firozabad,Goa,8680112805,aarav.nath@gmail.com,2020-06-12,Active
19,BEN377932,13,Devansh Barman,Indian Bank,566461768998,BKAI322086,Employer,External,Bharatpur,Uttar Pradesh,5331586923,devansh.barman@gmail.com,2017-12-13,Active
20,BEN559381,14,Hemal Natarajan,IndusInd Bank,670799496139,BKAI573417,Self,External,Kulti,Himachal Pradesh,1607337543,hemal.natarajan@gmail.com,2023-11-25,Active
21,BEN842225,16,Nitesh Mallick,State Bank of India,167135076022,BKAI340062,Self,External,Alwar,Kerala,8501429401,nitesh.mallick@gmail.com,2026-01-25,Active
22,BEN392004,16,Tejas Vaidya,BankAI,635449182375,BKAI324643,Spouse,Internal,Kharagpur,Odisha,4060883561,tejas.vaidya@gmail.com,2018-04-23,Active
23,BEN946721,17,Netra Tripathi,Yes Bank,307906739442,BKAI198907,Self,External,Alappuzha,Karnataka,4823662994,netra.tripathi@gmail.com,2021-08-02,Active
24,BEN806073,17,Luke Kade,AU Small Finance Bank,210149503297,BKAI163556,Brother,External,Adoni,Punjab,7773872148,luke.kade@gmail.com,2022-08-13,Active
25,BEN246991,18,Nilima Kar,BankAI,299380463457,BKAI392075,Sister,Internal,Siliguri,Andhra Pradesh,3791769367,nilima.kar@gmail.com,2016-08-12,Active
26,BEN153045,19,Chatresh Sandal,Indian Bank,281403868608,BKAI526156,Sister,External,Belgaum,Uttar Pradesh,0831727889,chatresh.sandal@gmail.com,2024-01-09,Active
27,BEN102260,19,Vansha Dutt,ICICI Bank,529433631560,BKAI378085,Employer,External,Hospet,Himachal Pradesh,4873471434,vansha.dutt@gmail.com,2017-08-13,Active
28,BEN262316,20,Ekantika Dora,Yes Bank,422938152332,BKAI328275,Employee,External,Yamunanagar,Tamil Nadu,3166587603,ekantika.dora@gmail.com,2019-12-04,Active
29,BEN159942,20,Sachi Sood,BankAI,740165486786,BKAI599948,Sister,Internal,Nagercoil,Jharkhand,6889373467,sachi.sood@gmail.com,2016-11-09,Active
30,BEN808011,22,Fitan Sibal,HDFC Bank,361399523052,BKAI523389,Self,External,Deoghar,Andhra Pradesh,9901627204,fitan.sibal@gmail.com,2020-01-12,Active
31,BEN539589,22,Nihal Nazareth,Kotak Mahindra Bank,742773523346,BKAI692683,Spouse,External,Alwar,Tripura,4170805310,nihal.nazareth@gmail.com,2023-06-30,Active
32,BEN237235,23,Ganga Khare,BankAI,811554491388,BKAI414569,Sister,Internal,Bhalswa Jahangir Pur,Sikkim,9374529912,ganga.khare@gmail.com,2017-12-27,Active
33,BEN176819,23,Nachiket Prashad,BankAI,334237356171,BKAI630458,Mother,Internal,Davanagere,Assam,1491905865,nachiket.prashad@gmail.com,2022-07-04,Active
34,BEN974244,24,Ucchal Suri,ICICI Bank,875427216652,BKAI417212,Spouse,External,Bhiwani,Kerala,2628498776,ucchal.suri@gmail.com,2017-05-15,Active
35,BEN795613,24,Chameli Mallick,BankAI,249800414661,BKAI377312,Self,Internal,Latur,Tripura,9965075273,chameli.mallick@gmail.com,2025-03-21,Active
36,BEN734210,24,Manya Anne,BankAI,886883662637,BKAI459536,Father,Internal,Guwahati,Haryana,7837770143,manya.anne@gmail.com,2019-04-23,Active
37,BEN196781,25,Warjas Wali,BankAI,566580698915,BKAI969634,Mother,Internal,Khandwa,Telangana,5744431351,warjas.wali@gmail.com,2026-05-19,Active
38,BEN269430,25,Warhi Malhotra,BankAI,588514866975,BKAI678478,Friend,Internal,Salem,Uttarakhand,4352408240,warhi.malhotra@gmail.com,2020-02-17,Active
39,BEN975136,27,Yatan Chauhan,Indian Bank,741535897688,BKAI679364,Self,External,Chapra,Jharkhand,7752047116,yatan.chauhan@gmail.com,2024-12-27,Active
40,BEN475190,27,Faqid Dixit,Bandhan Bank,848226581356,BKAI361650,Friend,External,Guwahati,Haryana,8699938677,faqid.dixit@gmail.com,2022-06-15,Active
41,BEN348237,27,Ayushman Chaudhary,Canara Bank,279807112340,BKAI938742,Friend,External,Rajpur Sonarpur,Himachal Pradesh,2328120679,ayushman.chaudhary@gmail.com,2016-07-14,Active
42,BEN941204,28,Mitali Mandal,Yes Bank,992215278349,BKAI360222,Mother,External,Madurai,Sikkim,4936183242,mitali.mandal@gmail.com,2017-08-03,Active
43,BEN333238,29,Mitali Sarna,BankAI,998505323632,BKAI582662,Mother,Internal,Bhind,Tamil Nadu,6488771906,mitali.sarna@gmail.com,2017-03-21,Active
44,BEN517821,30,Chakradev Karnik,BankAI,406352552364,BKAI172792,Employee,Internal,Agartala,Odisha,2787429671,chakradev.karnik@gmail.com,2023-04-16,Active
45,BEN128941,31,Oeshi Cheema,AU Small Finance Bank,387635680418,BKAI287241,Spouse,External,Ozhukarai,Maharashtra,4680715451,oeshi.cheema@gmail.com,2023-06-11,Active
46,BEN557592,31,Triveni Bhagat,Bank of Baroda,226750596909,BKAI503906,Business Partner,External,Kadapa,Kerala,7034824771,triveni.bhagat@gmail.com,2024-04-15,Active
47,BEN481913,32,Nachiket Atwal,BankAI,174866852259,BKAI796503,Employer,Internal,Tiruchirappalli,Haryana,7127484677,nachiket.atwal@gmail.com,2019-06-07,Active
48,BEN631756,32,Sanaya Halder,IDFC FIRST Bank,831472807830,BKAI528231,Mother,External,Coimbatore,Himachal Pradesh,5840449972,sanaya.halder@gmail.com,2018-08-08,Active
49,BEN745414,33,Ojas Purohit,Canara Bank,433156770265,BKAI525800,Spouse,External,Pondicherry,West Bengal,3963605766,ojas.purohit@gmail.com,2026-06-01,Active
50,BEN587575,34,Yashasvi Narula,Kotak Mahindra Bank,587228760932,BKAI808446,Father,External,Gandhidham,Bihar,0262174596,yashasvi.narula@gmail.com,2021-02-10,Active
