"customer_id","customer_code","first_name","last_name","full_name","gender","date_of_birth","marital_status","occupation","annual_income","phone_number","email","address","city","state","postal_code","country","pan_number","aadhaar_number","customer_since","risk_category","kyc_status","customer_status"
"1","CUST000001","Dayita","Bakshi","Dayita Bakshi","Female","1961-07-19","Single","Civil Engineer","273158","9300265774","dayita.bakshi469@gmail.com","321
Chahal Circle","Pune","Maharashtra","001338","India","PVAUS6574I","193008687593","2017-07-05","Medium","Verified","Active"
"2","CUST000002","Amara","Issac","Amara Issac","Female","2006-07-08","Married","Lawyer","241833","9413676065","amara.issac260@gmail.com","794
Dutta Nagar","Noida","Uttar Pradesh","542351","India","EJZQO6313Y","720322983639","2012-07-06","Low","Verified","Active"
"3","CUST000003","Chakradhar","Rai","Chakradhar Rai","Male","1981-07-14","Married","Sales Executive","389790","9881165354","chakradhar.rai267@gmail.com","H.No. 59, Bassi Road","Guwahati","Assam","816184","India","ZWASR9797Y","261449825198","2017-07-05","Medium","Verified","Active"
"4","CUST000004","Pratyush","Handa","Pratyush Handa","Male","1974-07-16","Divorced","Driver","200299","9488308904","pratyush.handa80@gmail.com","H.No. 341, Chaudhuri Ganj","Jaipur","Rajasthan","475255","India","ZNDRY3705I","569976736384","2019-07-05","Low","Verified","Active"
"5","CUST000005","Henry","Loke","Henry Loke","Male","2008-07-07","Single","Doctor","320031","9624578524","henry.loke426@gmail.com","28/32, Raghavan Chowk","Vadodara","Gujarat","835030","India","ECLLM1887V","660781151148","2024-07-03","Low","Verified","Active"
"6","CUST000006","Nakul","Rattan","Nakul Rattan","Male","1955-07-21","Single","Teacher","323930","9391039726","nakul.rattan758@gmail.com","H.No. 395
Tata Ganj","Ludhiana","Punjab","724238","India","ZOSEH1958S","703049505800","2019-07-05","Low","Verified","Active"
"7","CUST000007","Lekha","Sangha","Lekha Sangha","Female","1969-07-17","Single","Student","1331738","9423623704","lekha.sangha586@gmail.com","H.No. 32
Tak Circle","Nagpur","Maharashtra","012269","India","ZBFGY2127H","318769608269","2022-07-04","Low","Verified","Active"
"8","CUST000008","Azad","Rajan","Azad Rajan","Male","1970-07-17","Single","Nurse","860447","9804207627","azad.rajan574@gmail.com","78/48
Contractor Nagar","Warangal","Telangana","514627","India","SOCYR3442R","035403990366","2015-07-06","Medium","Verified","Active"
"9","CUST000009","Aadhya","Lall","Aadhya Lall","Female","1949-07-22","Married","Farmer","1432323","9474672173","aadhya.lall49@gmail.com","14/89, Dua Ganj","Varanasi","Uttar Pradesh","288095","India","WFVLH4728H","013892639591","2018-07-05","Low","Pending","Active"
"10","CUST000010","Yash","Bahl","Yash Bahl","Male","1986-07-13","Married","Nurse","2485054","9627095776","yash.bahl382@gmail.com","H.No. 43, Khosla Nagar","Patna","Bihar","171822","India","LYXQR3041X","956365163715","2014-07-06","Low","Verified","Active"
